TE	tissue	strainTE	effect	strainBreakpoint	epigeneticEffect	histone.x	spread	average	frequency	problem	threshold	histone
2L_13731792_13731804_hopper	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13731792_13731804_hopper	gut	JUT-011	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13731792_13731804_hopper	gut	JUT-011	noEnrichment	SLA-001	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13731792_13731804_hopper	gut	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13731792_13731804_hopper	gut	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13731792_13731804_hopper	gut	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13731792_13731804_hopper	gut	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13731792_13731804_hopper	gut	TOM-007	noEnrichment	MUN-016	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13731792_13731804_hopper	gut	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13731792_13731804_hopper	ovary	JUT-011	increment	AKA-017	1	H3K27ac	2	17.276	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	JUT-011	increment	MUN-016	1	H3K27ac	5	34.359	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	JUT-011	increment	SLA-001	1	H3K27ac	2	14.468	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	JUT-011	increment	AKA-017	1	H3K9me3	1	13.709	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	JUT-011	increment	MUN-016	1	H3K9me3	3	37.458	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	JUT-011	increment	SLA-001	1	H3K9me3	1	22.529	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	TOM-007	increment	AKA-017	1	H3K27ac	1	12.161	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	TOM-007	increment	MUN-016	1	H3K27ac	1	28.499	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	TOM-007	increment	AKA-017	1	H3K9me3	1	15.901	2	N	threshold=1	bivalent
2L_13731792_13731804_hopper	ovary	TOM-007	increment	MUN-016	1	H3K9me3	1	40.107	2	N	threshold=1	bivalent
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13760573_13760573_H	gut	JUT-011	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13760573_13760573_H	head	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	head	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	head	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	head	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13760573_13760573_H	head	JUT-011	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13760573_13760573_H	head	JUT-011	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13760573_13760573_H	head	JUT-011	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13760573_13760573_H	ovary	JUT-011	increment	MUN-016	1	H3K27ac	2	22.543	1	N	threshold=1	H3K27ac
2L_13760573_13760573_H	ovary	JUT-011	increment	SLA-001	1	H3K27ac	1	12.364	1	N	threshold=1	H3K27ac
2L_13760573_13760573_H	ovary	JUT-011	increment	TOM-007	1	H3K27ac	1	16.779	1	N	threshold=1	H3K27ac
2L_13778217_13778217_roo	gut	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	gut	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	gut	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	gut	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13778217_13778217_roo	head	AKA-017	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13839935_13839935_roo	gut	JUT-011	increment	AKA-017	1	H3K9me3	2	47.648	1	N	threshold=1	H3K9me3
2L_13839935_13839935_roo	gut	JUT-011	increment	MUN-016	1	H3K9me3	2	23.185	1	N	threshold=1	H3K9me3
2L_13839935_13839935_roo	gut	JUT-011	increment	TOM-007	1	H3K9me3	2	16.839	1	N	threshold=1	H3K9me3
2L_13839935_13839935_roo	gut	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13839935_13839935_roo	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13839935_13839935_roo	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13839935_13839935_roo	head	JUT-011	increment	MUN-016	1	H3K9me3	2	31.603	1	N	threshold=1	H3K9me3
2L_13839935_13839935_roo	head	JUT-011	increment	SLA-001	1	H3K9me3	2	28.938	1	N	threshold=1	H3K9me3
2L_13839935_13839935_roo	head	JUT-011	increment	TOM-007	1	H3K9me3	1	7.54	1	N	threshold=1	H3K9me3
2L_13839935_13839935_roo	head	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13839935_13839935_roo	head	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13839935_13839935_roo	head	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13839935_13839935_roo	ovary	JUT-011	mix	AKA-017	1	H3K27ac	1	-21.569	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	MUN-016	1	H3K27ac	3	-40.905	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	SLA-001	1	H3K27ac	1	-4.39	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	TOM-007	1	H3K27ac	3	-30.127	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	AKA-017	1	H3K9me3	2	34.069	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	MUN-016	1	H3K9me3	2	40.375	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	SLA-001	1	H3K9me3	2	56.652	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13839935_13839935_roo	ovary	JUT-011	mix	TOM-007	1	H3K9me3	2	34.028	1	N	consistent	H3K27ac_depletion;H3K9me3_increment;
2L_13887488_13887492_Bari1	gut	MUN-016	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	gut	MUN-016	noEnrichment	JUT-011	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	gut	MUN-016	noEnrichment	TOM-007	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	gut	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	gut	SLA-001	noEnrichment	TOM-007	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	MUN-016	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	MUN-016	noEnrichment	JUT-011	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	MUN-016	noEnrichment	TOM-007	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	MUN-016	noEnrichment	JUT-011	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13887488_13887492_Bari1	head	MUN-016	noEnrichment	TOM-007	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13887488_13887492_Bari1	head	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	SLA-001	noEnrichment	JUT-011	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	SLA-001	noEnrichment	TOM-007	0	H3K27ac	0	0	2	N	consistent_noEnrichment	H3K27ac
2L_13887488_13887492_Bari1	head	SLA-001	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13887488_13887492_Bari1	head	SLA-001	noEnrichment	JUT-011	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13887488_13887492_Bari1	head	SLA-001	noEnrichment	TOM-007	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13912927_13912927_roo	gut	MUN-016	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13912927_13912927_roo	head	MUN-016	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13912927_13912927_roo	ovary	MUN-016	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13912927_13912927_roo	ovary	MUN-016	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13912927_13912927_roo	ovary	MUN-016	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_13912927_13912927_roo	ovary	MUN-016	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13912927_13912927_roo	ovary	MUN-016	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13912927_13912927_roo	ovary	MUN-016	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	gut	TOM-007	increment	AKA-017	1	H3K27ac	2	47.864	1	N	consistent	H3K27ac
2L_13972051_13972051_Doc	gut	TOM-007	increment	JUT-011	1	H3K27ac	7	81.853	1	N	consistent	H3K27ac
2L_13972051_13972051_Doc	gut	TOM-007	increment	MUN-016	1	H3K27ac	12	60.545	1	N	consistent	H3K27ac
2L_13972051_13972051_Doc	gut	TOM-007	increment	SLA-001	1	H3K27ac	9	74.589	1	N	consistent	H3K27ac
2L_13972051_13972051_Doc	gut	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	gut	TOM-007	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	gut	TOM-007	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	gut	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	head	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_13972051_13972051_Doc	ovary	TOM-007	increment	AKA-017	1	H3K9me3	4	172.851	1	N	consistent	H3K9me3
2L_13972051_13972051_Doc	ovary	TOM-007	increment	JUT-011	1	H3K9me3	2	99.749	1	N	consistent	H3K9me3
2L_13972051_13972051_Doc	ovary	TOM-007	increment	MUN-016	1	H3K9me3	7	199.05	1	N	consistent	H3K9me3
2L_13972051_13972051_Doc	ovary	TOM-007	increment	SLA-001	1	H3K9me3	2	163.709	1	N	consistent	H3K9me3
2L_13972051_13972051_Doc	ovary	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	ovary	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	ovary	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_13972051_13972051_Doc	ovary	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14042138_14042138_Doc	gut	MUN-016	increment	AKA-017	1	H3K27ac	1	20.995	1	N	consistent	H3K27ac
2L_14042138_14042138_Doc	gut	MUN-016	increment	JUT-011	1	H3K27ac	2	47.68	1	N	consistent	H3K27ac
2L_14042138_14042138_Doc	gut	MUN-016	increment	SLA-001	1	H3K27ac	3	40.065	1	N	consistent	H3K27ac
2L_14042138_14042138_Doc	gut	MUN-016	increment	TOM-007	1	H3K27ac	3	61.798	1	N	consistent	H3K27ac
2L_14042138_14042138_Doc	gut	MUN-016	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	gut	MUN-016	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	gut	MUN-016	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	gut	MUN-016	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	head	MUN-016	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_14042138_14042138_Doc	ovary	MUN-016	increment	AKA-017	1	H3K9me3	6	153.973	1	N	consistent	H3K9me3
2L_14042138_14042138_Doc	ovary	MUN-016	increment	JUT-011	1	H3K9me3	3	77.174	1	N	consistent	H3K9me3
2L_14042138_14042138_Doc	ovary	MUN-016	increment	SLA-001	1	H3K9me3	6	115.263	1	N	consistent	H3K9me3
2L_14042138_14042138_Doc	ovary	MUN-016	increment	TOM-007	1	H3K9me3	3	118.2	1	N	consistent	H3K9me3
2L_14049138_14049138_mdg1	gut	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	gut	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	head	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	head	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	head	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	head	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	ovary	JUT-011	increment	AKA-017	1	H3K9me3	2	116.833	1	N	consistent	H3K9me3
2L_14049138_14049138_mdg1	ovary	JUT-011	increment	MUN-016	1	H3K9me3	4	83.52	1	N	consistent	H3K9me3
2L_14049138_14049138_mdg1	ovary	JUT-011	increment	SLA-001	1	H3K9me3	2	100.746	1	N	consistent	H3K9me3
2L_14049138_14049138_mdg1	ovary	JUT-011	increment	TOM-007	1	H3K9me3	1	78.963	1	N	consistent	H3K9me3
2L_14049138_14049138_mdg1	ovary	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	ovary	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	ovary	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14049138_14049138_mdg1	ovary	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14076087_14076091_F-element	gut	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_14076087_14076091_F-element	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_14076087_14076091_F-element	gut	JUT-011	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	consistent_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	gut	JUT-011	noEnrichment	MUN-016	0	H3K9me3	0	0	2	N	consistent_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	gut	JUT-011	noEnrichment	TOM-007	0	H3K9me3	0	0	2	N	consistent_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	gut	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_14076087_14076091_F-element	gut	SLA-001	noEnrichment	MUN-016	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_14076087_14076091_F-element	gut	SLA-001	noEnrichment	TOM-007	0	H3K27ac	0	0	2	N	threshold=1_noEnrichment	H3K27ac
2L_14076087_14076091_F-element	gut	SLA-001	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	consistent_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	gut	SLA-001	noEnrichment	MUN-016	0	H3K9me3	0	0	2	N	consistent_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	gut	SLA-001	noEnrichment	TOM-007	0	H3K9me3	0	0	2	N	consistent_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	head	JUT-011	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	head	JUT-011	noEnrichment	MUN-016	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	head	JUT-011	noEnrichment	TOM-007	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	head	SLA-001	noEnrichment	AKA-017	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	head	SLA-001	noEnrichment	MUN-016	0	H3K9me3	0	0	2	N	threshold=1_noEnrichment	H3K9me3
2L_14076087_14076091_F-element	ovary	JUT-011	increment	AKA-017	1	H3K9me3	1	41.846	2	N	consistent	H3K9me3
2L_14076087_14076091_F-element	ovary	JUT-011	increment	MUN-016	1	H3K9me3	7	65.032	2	N	consistent	H3K9me3
2L_14076087_14076091_F-element	ovary	JUT-011	increment	TOM-007	1	H3K9me3	1	21.286	2	N	consistent	H3K9me3
2L_14076087_14076091_F-element	ovary	SLA-001	increment	AKA-017	1	H3K9me3	1	104.177	2	N	consistent	H3K9me3
2L_14076087_14076091_F-element	ovary	SLA-001	increment	MUN-016	1	H3K9me3	3	137.553	2	N	consistent	H3K9me3
2L_14076087_14076091_F-element	ovary	SLA-001	increment	TOM-007	1	H3K9me3	1	74.582	2	N	consistent	H3K9me3
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_14088181_14088181_297	gut	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_14088181_14088181_297	head	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	head	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	head	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	head	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_14088181_14088181_297	head	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
